,hour,minute,counter
0,0,0,4
1,0,14,2
2,0,15,2
3,0,29,6
4,0,30,4
5,0,41,2
6,0,42,11
7,0,43,12
8,0,44,9
9,0,45,11
10,0,59,3
11,1,0,5
12,1,13,2
13,1,14,3
14,1,15,10
15,1,23,2
16,1,24,5
17,1,25,4
18,1,26,3
19,1,27,5
20,1,28,4
21,1,29,6
22,1,30,2
23,1,44,3
24,1,45,3
25,1,59,5
26,2,0,1
27,2,9,5
28,2,10,3
29,2,11,4
30,2,12,3
31,2,13,5
32,2,14,4
33,2,15,5
34,2,16,3
35,2,17,2
36,2,18,8
37,2,19,3
38,2,20,2
39,2,21,2
40,2,22,1
41,2,23,3
42,2,24,5
43,2,25,5
44,2,26,2
45,2,27,3
46,2,28,4
47,2,29,3
48,2,30,4
49,2,31,4
50,2,32,1
51,2,33,3
52,2,34,1
53,2,35,4
54,2,36,4
55,2,37,3
56,2,38,1
57,2,39,4
58,2,40,3
59,2,41,2
60,2,42,2
61,2,43,2
62,2,44,4
63,2,45,2
64,2,46,3
65,2,47,2
66,2,48,3
67,2,49,6
68,2,50,4
69,2,51,1
70,2,52,1
71,2,53,2
72,2,54,4
73,2,55,1
74,2,56,5
75,2,57,3
76,2,58,3
77,2,59,2
78,3,0,2
79,3,2,6
80,3,3,4
81,3,4,3
82,3,5,2
83,3,6,3
84,3,7,3
85,3,8,2
86,3,9,8
87,3,10,6
88,3,11,2
89,3,12,3
90,3,13,8
91,3,14,3
92,3,15,7
93,3,16,2
94,3,17,4
95,3,18,5
96,3,19,3
97,3,20,3
98,3,21,4
99,3,22,1
100,3,23,3
101,3,24,2
102,3,25,2
103,3,26,4
104,3,27,2
105,3,28,3
106,3,29,8
107,3,30,3
108,3,31,6
109,3,33,3
110,3,34,3
111,3,35,1
112,3,36,3
113,3,37,3
114,3,38,3
115,3,39,2
116,3,40,6
117,3,41,4
118,3,42,1
119,3,43,1
120,3,44,3
121,3,45,1
122,3,46,2
123,3,47,2
124,3,48,4
125,3,49,2
126,3,50,4
127,3,52,2
128,3,53,3
129,3,54,5
130,3,55,3
131,3,56,6
132,3,57,2
133,3,58,3
134,4,0,4
135,4,5,2
136,4,6,2
137,4,7,3
138,4,8,1
139,4,9,1
140,4,10,4
141,4,11,3
142,4,12,2
143,4,13,1
144,4,14,3
145,4,15,1
146,4,28,1
147,4,29,1
148,4,42,4
149,4,43,1
150,4,44,5
151,4,45,2
152,4,46,2
153,4,47,3
154,4,48,2
155,4,49,3
156,4,50,3
157,4,52,4
158,4,53,1
159,4,54,1
160,4,55,2
161,4,56,1
162,4,57,2
163,4,58,2
164,4,59,4
165,5,0,1
166,5,1,2
167,5,2,2
168,5,3,2
169,5,4,3
170,5,6,2
171,5,7,4
172,5,8,3
173,5,9,1
174,5,10,2
175,5,11,2
176,5,12,3
177,5,13,5
178,5,14,1
179,5,15,2
180,5,16,3
181,5,17,3
182,5,18,1
183,5,19,2
184,5,20,2
185,5,21,4
186,5,22,1
187,5,23,5
188,5,25,3
189,5,26,1
190,5,27,5
191,5,28,1
192,5,29,2
193,5,30,2
194,5,31,2
195,5,32,1
196,5,33,2
197,5,34,5
198,5,36,2
199,5,37,1
200,5,38,2
201,5,39,3
202,5,40,2
203,5,41,1
204,5,42,1
205,5,43,2
206,5,44,1
207,5,45,3
208,5,46,1
209,5,47,2
210,5,49,2
211,5,50,1
212,5,51,2
213,5,53,2
214,5,55,1
215,5,56,1
216,5,57,2
217,5,58,1
218,5,59,3
219,6,0,2
220,6,1,1
221,6,2,3
222,6,3,1
223,6,4,1
224,6,5,3
225,6,6,4
226,6,7,4
227,6,9,1
228,6,10,3
229,6,11,2
230,6,12,1
231,6,13,2
232,6,14,1
233,6,15,1
234,6,17,1
235,6,18,1
236,6,19,2
237,6,20,2
238,6,21,1
239,6,22,1
240,6,23,1
241,6,24,1
242,6,25,1
243,6,26,5
244,6,27,3
245,6,28,5
246,6,29,4
247,6,30,2
248,6,31,1
249,6,32,2
250,6,33,1
251,6,34,2
252,6,36,2
253,6,37,1
254,6,39,2
255,6,41,2
256,6,43,1
257,6,45,1
258,6,46,1
259,6,47,1
260,6,48,1
261,6,49,2
262,6,50,1
263,6,51,4
264,6,53,2
265,6,54,1
266,6,55,1
267,6,56,1
268,6,57,2
269,6,58,1
270,7,0,1
271,7,1,5
272,7,2,2
273,7,3,5
274,7,4,1
275,7,5,2
276,7,9,1
277,7,11,1
278,7,12,2
279,7,14,2
280,7,15,1
281,7,29,2
282,7,30,3
283,7,35,3
284,7,36,1
285,7,37,1
286,7,39,1
287,7,40,1
288,7,41,1
289,7,42,2
290,7,43,1
291,7,44,2
292,7,46,2
293,7,47,2
294,7,48,1
295,7,50,2
296,7,51,2
297,7,52,2
298,7,53,1
299,7,54,1
300,7,55,3
301,7,56,2
302,7,57,1
303,7,58,1
304,8,0,2
305,8,1,1
306,8,2,1
307,8,3,4
308,8,4,1
309,8,7,1
310,8,8,1
311,8,12,1
312,8,13,1
313,8,14,1
314,8,15,1
315,8,16,1
316,8,17,2
317,8,20,2
318,8,21,1
319,8,22,1
320,8,25,1
321,8,26,1
322,8,27,1
323,8,28,1
324,8,29,1
325,8,30,2
326,8,32,4
327,8,33,1
328,8,35,4
329,8,37,1
330,8,38,2
331,8,39,2
332,8,40,2
333,8,41,2
334,8,43,5
335,8,44,1
336,8,45,1
337,8,46,1
338,8,47,3
339,8,51,2
340,8,52,1
341,8,53,3
342,8,54,3
343,8,56,4
344,8,57,2
345,8,58,1
346,8,59,1
347,9,0,1
348,9,7,1
349,9,9,1
350,9,10,1
351,9,11,1
352,9,12,1
353,9,13,3
354,9,14,1
355,9,15,1
356,9,16,1
357,9,17,1
358,9,18,2
359,9,22,1
360,9,23,1
361,9,25,1
362,9,27,6
363,9,28,2
364,9,29,2
365,9,30,5
366,9,31,1
367,9,32,1
368,9,33,1
369,9,34,1
370,9,36,1
371,9,37,2
372,9,38,1
373,9,40,2
374,9,41,1
375,9,42,1
376,9,44,3
377,9,46,2
378,9,47,3
379,9,48,2
380,9,49,2
381,9,51,2
382,9,52,3
383,9,53,1
384,9,57,2
385,9,59,1
386,10,1,1
387,10,2,2
388,10,5,2
389,10,6,1
390,10,8,3
391,10,11,1
392,10,12,1
393,10,14,1
394,10,16,1
395,10,17,3
396,10,18,2
397,10,19,1
398,10,21,1
399,10,22,1
400,10,24,1
401,10,27,1
402,10,28,2
403,10,29,1
404,10,30,2
405,10,31,1
406,10,32,3
407,10,33,2
408,10,34,1
409,10,35,4
410,10,37,2
411,10,39,1
412,10,40,1
413,10,41,2
414,10,42,2
415,10,43,2
416,10,44,4
417,10,46,1
418,10,48,1
419,10,49,3
420,10,51,1
421,10,54,3
422,10,55,1
423,10,57,3
424,10,58,3
425,10,59,6
426,11,0,1
427,11,1,2
428,11,2,1
429,11,3,2
430,11,4,4
431,11,6,3
432,11,7,2
433,11,8,2
434,11,10,3
435,11,12,1
436,11,13,4
437,11,14,2
438,11,15,2
439,11,16,2
440,11,17,1
441,11,18,2
442,11,19,1
443,11,20,2
444,11,21,2
445,11,22,1
446,11,23,1
447,11,24,2
448,11,25,1
449,11,26,4
450,11,27,1
451,11,28,1
452,11,29,2
453,11,30,2
454,11,32,3
455,11,33,2
456,11,34,2
457,11,35,1
458,11,36,2
459,11,38,1
460,11,40,2
461,11,41,1
462,11,42,1
463,11,43,2
464,11,44,2
465,11,45,1
466,11,46,1
467,11,47,3
468,11,48,2
469,11,49,3
470,11,50,1
471,11,52,2
472,11,53,3
473,11,55,1
474,11,56,2
475,11,57,2
476,11,58,2
477,11,59,2
478,12,0,1
479,12,2,3
480,12,3,1
481,12,4,1
482,12,5,1
483,12,6,1
484,12,7,1
485,12,8,1
486,12,10,58
487,12,11,34
488,12,12,18
489,12,13,7
490,12,14,13
491,12,15,6
492,12,16,7
493,12,17,6
494,12,18,6
495,12,19,8
496,12,20,8
497,12,21,5
498,12,22,6
499,12,23,10
500,12,24,2
501,12,25,7
502,12,26,5
503,12,27,7
504,12,28,5
505,12,29,5
506,12,30,4
507,12,31,3
508,12,32,3
509,12,33,7
510,12,34,2
511,12,35,1
512,12,36,6
513,12,37,2
514,12,38,2
515,12,39,4
516,12,40,6
517,12,41,7
518,12,42,3
519,12,43,1
520,12,44,2
521,12,45,1
522,12,46,2
523,12,47,4
524,12,48,5
525,12,49,6
526,12,50,3
527,12,51,4
528,12,52,3
529,12,54,1
530,12,55,3
531,12,56,4
532,12,57,2
533,12,58,1
534,12,59,6
535,13,0,5
536,13,1,5
537,13,2,2
538,13,3,7
539,13,4,1
540,13,5,1
541,13,6,4
542,13,7,7
543,13,8,4
544,13,9,1
545,13,10,2
546,13,11,4
547,13,12,1
548,13,13,7
549,13,14,2
550,13,16,5
551,13,17,7
